Data,Nível,Taxa Chuva (mm/h),Chuva Acum. Dia (mm),Temp (ºC)
2024-03-07 00:00:00,2.39,0,0.2,9.4
2024-03-07 01:00:00,2.38,0,0,8.8
2024-03-07 02:00:00,2.38,0,0,8.6
2024-03-07 03:00:00,2.38,0,0,8.8
2024-03-07 04:00:00,2.38,0,0,8.5
2024-03-07 05:00:00,2.38,0,0,8.6
2024-03-07 06:00:00,2.36,0,0,8.6
2024-03-07 07:00:00,2.38,0,0,8.5
2024-03-07 08:00:00,2.35,0,0,8.5
2024-03-07 09:00:00,2.42,0,0,8.9
2024-03-07 10:00:00,2.41,0,0.2,10.4
2024-03-07 11:00:00,2.42,0,0.2,14
2024-03-07 12:00:00,2.41,0,0.2,17.2
2024-03-07 13:00:00,2.41,0,0.2,19.9
2024-03-07 14:00:00,2.29,0,0.2,21.8
2024-03-07 15:00:00,2.23,0,0.2,23.1
2024-03-07 16:00:00,2.21,0,0.2,23.9
2024-03-07 17:00:00,2.25,0,0.2,22.2
2024-03-07 18:00:00,2.31,0,0.2,19.7
2024-03-07 19:00:00,2.32,0,0.2,18.3
2024-03-07 20:00:00,2.33,0,0.2,17.2
2024-03-07 21:00:00,2.37,0,0.2,16.3
2024-03-07 22:00:00,2.35,0,0.2,15.4
2024-03-07 23:00:00,2.36,0,0.2,14.8
2024-04-07 00:00:00,2.35,0,0.2,14.2
2024-04-07 01:00:00,2.33,0,0,14.1
2024-04-07 02:00:00,2.35,0,0,13.3
2024-04-07 03:00:00,2.35,0,0,12.9
2024-04-07 04:00:00,2.34,0,0,13.2
,,,,
2024-04-07 05:00:00,2.33,0,0,13.1
2024-04-07 06:00:00,2.33,0,0,13
2024-04-07 07:00:00,2.33,0,0.2,13.6
2024-04-07 08:00:00,2.33,0,0.2,13.8
2024-04-07 09:00:00,2.38,0,0.2,15.1
2024-04-07 10:00:00,2.27,0,0.2,15.4
2024-04-07 11:00:00,2.32,0,0.2,16.9
2024-04-07 12:00:00,2.29,0,0.2,17.6
2024-04-07 13:00:00,2.27,0,0.2,18.3
2024-04-07 14:00:00,2.23,0,0.2,19.1
2024-04-07 15:00:00,2.21,0,0.2,19.8
2024-04-07 16:00:00,2.3,0,0.2,19.8
2024-04-07 17:00:00,2.21,0,0.2,18.7
2024-04-07 18:00:00,2.3,0,0.2,17.4
2024-04-07 19:00:00,2.3,0,0.2,16.9
2024-04-07 20:00:00,2.29,0,0.2,16.2
2024-04-07 21:00:00,2.3,0,0.2,15.9
2024-04-07 22:00:00,2.3,0,0.2,15.3
2024-04-07 23:00:00,2.3,0,0.2,15.4
2024-05-07 00:00:00,2.29,0,0.2,14.8
2024-05-07 01:00:00,2.29,0,0,14.8
2024-05-07 02:00:00,2.29,0,0,14.9
2024-05-07 03:00:00,2.29,0,0,14.9
2024-05-07 04:00:00,2.29,0,0,15
2024-05-07 05:00:00,2.3,0,0,15.1
2024-05-07 06:00:00,2.32,0,0,15.1
2024-05-07 07:00:00,2.33,0,0,15.1
2024-05-07 08:00:00,2.3,0,0,15.4
2024-05-07 09:00:00,2.23,0,0,15.6
,,,,
2024-05-07 10:00:00,2.32,0,0,16.1
2024-05-07 11:00:00,2.2,0,0,17.6
2024-05-07 12:00:00,2.17,0,0,18.2
2024-05-07 13:00:00,2.11,0,0,19.7
2024-05-07 14:00:00,2.08,0,0,19.9
2024-05-07 15:00:00,2.02,0,0,20.9
