date,temperature_2m,relative_humidity_2m,rain,cloud_cover,wind_speed_10m,Nível
2023-09-29 03:00,14.707,95.57505,0.0,100.0,8.350138,4.75
2023-09-29 04:00,14.657,94.95529,0.0,100.0,7.172949,4.73
2023-09-29 05:00,14.757,92.82497,0.0,99.0,7.754637,4.7
2023-09-29 06:00,14.707,92.82228,0.0,100.0,9.0,4.67
2023-09-29 07:00,14.457,93.72021,0.0,100.0,7.5685663,4.64
2023-09-29 08:00,14.607,93.42296,0.0,100.0,6.12,4.61
2023-09-29 09:00,14.707,93.12466,0.0,100.0,5.3999996,4.58
2023-09-29 10:00,14.907,94.04598,0.0,100.0,6.849467,4.54
2023-09-29 11:00,15.807,89.34695,0.0,100.0,8.891344,4.51
2023-09-29 12:00,17.207,83.33948,0.0,96.0,12.387348,4.44
2023-09-29 13:00,18.357,76.5212,0.1,100.0,13.551501,4.38
2023-09-29 14:00,18.957,74.6627,0.1,100.0,13.513193,4.36
2023-09-29 15:00,19.707,71.95231,0.0,100.0,11.457958,4.32
2023-09-29 16:00,19.957,71.535034,0.0,100.0,11.988594,4.29
2023-09-29 17:00,20.607,69.61099,0.0,100.0,12.496718,4.25
2023-09-29 18:00,20.357,71.37863,0.0,100.0,12.768586,4.2
2023-09-29 19:00,19.907,74.10434,0.0,100.0,12.768586,4.2
2023-09-29 20:00,19.307,77.661865,0.0,100.0,12.979984,4.19
2023-09-29 21:00,18.257,83.730064,0.0,100.0,12.904882,4.16
2023-09-29 22:00,17.607,86.666466,0.0,100.0,13.441071,4.13
2023-09-29 23:00,17.357,87.76273,0.0,100.0,12.43434,4.1
2023-09-30 00:00,17.157,89.451515,0.0,100.0,8.427383,4.08
2023-09-30 01:00,17.007,90.594986,0.0,100.0,7.754637,4.05
2023-09-30 02:00,17.007,91.17738,0.1,100.0,9.693296,4.02
2023-09-30 03:00,16.907,92.05128,0.0,100.0,9.793059,3.99
2023-09-30 04:00,16.957,92.05423,0.0,100.0,7.5942082,3.96
2023-09-30 05:00,16.957,92.64511,0.0,100.0,6.489992,3.93
